RunID,User,Problem,Result,Memory,Time,Code Length,Submit Time
6583,50df31414b2239d83af808434616afb5,G,Wrong Answer,8100,296,1030 B,2018/5/16 15:04
6582,50df31414b2239d83af808434616afb5,G,Runtime Error,6656,108,1048 B,2018/5/16 15:02
6581,0d80656d1077c3cc4bc9067182c86bbc,E,Wrong Answer,7420,264,1803 B,2018/5/16 15:01
6580,312b0a002d423b6c24b9bdaa932ac419,G,Wrong Answer,10480,348,564 B,2018/5/16 15:01
6579,312b0a002d423b6c24b9bdaa932ac419,G,Wrong Answer,9172,372,564 B,2018/5/16 15:00
6578,0d80656d1077c3cc4bc9067182c86bbc,E,Wrong Answer,8272,304,1924 B,2018/5/16 14:53
6577,0d80656d1077c3cc4bc9067182c86bbc,E,Wrong Answer,8212,148,1933 B,2018/5/16 14:40
6576,212e5e48e1f4969b56cd22bd9a9c0c6e,F,Wrong Answer,14156,940,2465 B,2018/5/16 14:11
6569,212e5e48e1f4969b56cd22bd9a9c0c6e,F,Wrong Answer,13208,996,2457 B,2018/5/16 13:30
6554,fd695518057568470195296a11128cfa,D,Accepted,7700,280,1022 B,2018/5/16 11:40
6553,fd695518057568470195296a11128cfa,C,*Accepted5694(98%),8344,1532,813 B,2018/5/16 11:37
6552,fd695518057568470195296a11128cfa,B,Accepted,15892,2152,652 B,2018/5/16 11:35
6551,fd695518057568470195296a11128cfa,A,Accepted,8252,276,1029 B,2018/5/16 11:32
6550,fd695518057568470195296a11128cfa,A,Compile Error,0,0,1029 B,2018/5/16 11:31
6549,fd695518057568470195296a11128cfa,A,Compile Error,0,0,1029 B,2018/5/16 11:30
6548,65f94df2c54451d14fdf4fe3d5d8eeb6,D,Wrong Answer,7756,276,1211 B,2018/5/16 11:27
6547,18d5f25dcfbf7d3fb351432e5f43b71c,A,Accepted,8264,272,1471 B,2018/5/16 11:17
6546,65f94df2c54451d14fdf4fe3d5d8eeb6,D,Wrong Answer,7400,288,1131 B,2018/5/16 11:14
6544,9b307c918011d9bd353a84bd3946c692,C,Wrong Answer,7468,144,815 B,2018/5/16 11:00
6539,18d5f25dcfbf7d3fb351432e5f43b71c,A,Runtime Error,7356,132,1476 B,2018/5/16 10:42
6538,9b307c918011d9bd353a84bd3946c692,B,*Accepted5690(100%),15212,2192,651 B,2018/5/16 10:37
6537,9b307c918011d9bd353a84bd3946c692,A,*Accepted5669(100%),8228,276,1027 B,2018/5/16 10:36
6536,9b307c918011d9bd353a84bd3946c692,A,Compile Error,0,0,1066 B,2018/5/16 10:35
6535,9b307c918011d9bd353a84bd3946c692,A,Compile Error,0,0,1065 B,2018/5/16 10:35
6523,65f94df2c54451d14fdf4fe3d5d8eeb6,C,*Accepted5998(100%),8324,1532,578 B,2018/5/16 9:49
6519,44afc80df0c0f209841afdcd2525d096,E,Runtime Error,7420,136,2437 B,2018/5/16 1:13
6518,44afc80df0c0f209841afdcd2525d096,E,Runtime Error,8208,136,2443 B,2018/5/16 1:09
6517,12296ba3e03a762493c3fe4ac0b58278,E,Runtime Error,8264,672,3703 B,2018/5/16 0:56
6516,12296ba3e03a762493c3fe4ac0b58278,E,Runtime Error,8224,716,3677 B,2018/5/16 0:46
6515,12296ba3e03a762493c3fe4ac0b58278,E,Wrong Answer,8256,140,3714 B,2018/5/16 0:44
6514,44afc80df0c0f209841afdcd2525d096,E,Runtime Error,7272,136,2445 B,2018/5/16 0:44
6513,76e77986a8410443ddbe7fe901391930,F,Accepted,12476,1800,2499 B,2018/5/16 0:32
6512,76e77986a8410443ddbe7fe901391930,F,Time Limit Exceed,15556,2000,2500 B,2018/5/16 0:30
